No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
33005,칼국수한마당 팥칼국수 2인분 100 국내산 팥만으로 만든 팥물과 자가생면 HACCP품목,50014100,식품,라면/면류,면류,칼국수면,식품$라면/면류$면류$칼국수면
33006,판도라 로즈 하트 클래습 실버 팔찌 580719,50004193,패션잡화,주얼리,팔찌,은팔찌,패션잡화$주얼리$팔찌$은팔찌
33007,AK온라인몰 [과일엔] 프레쉬 생 레몬 21 25과 총 3kg내외 - 트렌디 감성의 스마트한 쇼핑공간,50002186,식품,농산물,과일,레몬,식품$농산물$과일$레몬
33008,차량 시거잭 면도기 화물차용 카 면도기 자동차 차량용 면도기,50003973,생활/건강,자동차용품,편의용품,차량용면도기,생활/건강$자동차용품$편의용품$차량용면도기
33009,로드맥스 베이직 차량 위치추적기 3-7일 GPS,50002735,디지털/가전,자동차기기,하이패스/GPS,하이패스,디지털/가전$자동차기기$하이패스/GPS$하이패스
33010,사사가구 포그니 패브릭 화장품 정리함 미니화장대,50003235,가구/인테리어,침실가구,화장대,화장품정리함,가구/인테리어$침실가구$화장대$화장품정리함
33011,(까미야)헬로우 베어 커플 맨투맨 커플룩 강아지옷,50007159,생활/건강,반려동물,패션용품,커플룩,생활/건강$반려동물$패션용품$커플룩
33012,삼손 지압매트 발 지압 연결식 혈액순환 매트,50001822,생활/건강,발건강용품,발지압/발매트,N,생활/건강$발건강용품$발지압/발매트$N
33013,벨르 BELLE 커트러리 로즈골드 동 티포크,50004527,생활/건강,주방용품,식기,양식기,생활/건강$주방용품$식기$양식기
33014,만능 미니 짤순이 조리용 주방 탈수기 - 탈수기 탈수기,50002348,디지털/가전,생활가전,건조기/탈수기,탈수기,디지털/가전$생활가전$건조기/탈수기$탈수기
33015,분재 스타일링 와이어조형 알루미늄선 식물 철사,50001791,생활/건강,원예/식물,분재,N,생활/건강$원예/식물$분재$N
33016,카밀라스 수제 카라멜 선물세트 20입,50001765,식품,과자/베이커리,캐러멜,N,식품$과자/베이커리$캐러멜$N
33017,핑크퐁 아기상어 푸시앤고 비행기,50004213,출산/육아,완구/매트,작동완구,비행기,출산/육아$완구/매트$작동완구$비행기
33018,롯데 선물세트 런천미트 2호,50012020,식품,통조림/캔,세트,N,식품$통조림/캔$세트$N
33019,차단 햇빛 원룸 커튼 블라인드 설치 쉬운 끝 붙이면 종이,50000859,가구/인테리어,커튼/블라인드,블라인드,N,가구/인테리어$커튼/블라인드$블라인드$N
33020,아동용 달님 원목옷걸이 방꾸미기 원목유아옷걸이,50001338,가구/인테리어,아동/주니어가구,행거,N,가구/인테리어$아동/주니어가구$행거$N
33021,초강력 칼라원형자석홀더 대 파랑 32mm 10개입 - 문구용품 문구용품 기타,50007849,생활/건강,문구/사무용품,문구용품,자석,생활/건강$문구/사무용품$문구용품$자석
33022,[비엣타이] 반포코 베트남쌀국수 세트 5인분,50014140,식품,라면/면류,면류,쌀국수면,식품$라면/면류$면류$쌀국수면
33023,보만 충전식 무선 전동드릴 ED8301B,50003414,생활/건강,공구,전동공구,충전드릴,생활/건강$공구$전동공구$충전드릴
33024,전사반지 남자반지 패션반지 해골노크 뜨거운 6m,50004155,패션잡화,주얼리,반지,패션반지,패션잡화$주얼리$반지$패션반지
33025,다익인터내셔널 이디야커피 핸드드립 커피 페르소나 블렌드 8g x 7개입,50011920,식품,음료,커피,드립백/티백,식품$음료$커피$드립백/티백
33026,매직미러 전신거울 수납장거울 미니멀 모던 심플 수납장-라이트 미포함,50003238,가구/인테리어,침실가구,거울,전신거울,가구/인테리어$침실가구$거울$전신거울
33027,수작업 공구 별드라이버 362SF T30,50003391,생활/건강,공구,수작업공구,드라이버,생활/건강$공구$수작업공구$드라이버
33028,아솜느 순면 100수 아기 유아누빔패드 M/L,50000512,출산/육아,유아침구,아기이불/요/패드,N,출산/육아$유아침구$아기이불/요/패드$N
33029,초보자볼링공 볼링 플레이 특수 진한 파란색 볼,50001247,스포츠/레저,볼링,볼링공,N,스포츠/레저$볼링$볼링공$N
33030,요넥스 요넥스 남성용 스포츠양말 1켤레 배드민턴 99SN021M,50004004,패션잡화,양말,남성양말,스포츠양말,패션잡화$양말$남성양말$스포츠양말
33031,45M 세차 물총 호스,50003937,생활/건강,자동차용품,세차용품,호스,생활/건강$자동차용품$세차용품$호스
33032,Poulain Cocoa Hazelnuts Jam 풀랭 피스타치오 초콜릿 잼 750g,50013521,식품,잼/시럽,초코잼,N,식품$잼/시럽$초코잼$N
33033,사파이어 사파이어컨벡션히터 SF-PCV20,50006835,디지털/가전,계절가전,컨벡터,N,디지털/가전$계절가전$컨벡터$N
33034,YF쏘나타 순정에어컨필터,50003934,생활/건강,자동차용품,공기청정용품,에어컨필터,생활/건강$자동차용품$공기청정용품$에어컨필터
33035,골프보스턴백 남성 골프가방 보스턴백 보스톤가방 100% 소가죽 럭셔리,50002790,스포츠/레저,골프,골프백,보스턴백,스포츠/레저$골프$골프백$보스턴백
33036,미샤 미샤 스테이 팁 컨실러 하이커버 3.8ml (21호 페어),50000347,화장품/미용,베이스메이크업,컨실러,N,화장품/미용$베이스메이크업$컨실러$N
33037,당근 캐릭터 동전지갑 미니 파우치 - 인기만점 귀여운 파우치,50000664,패션잡화,지갑,동전지갑,N,패션잡화$지갑$동전지갑$N
33038,7W 수중펌프 저소음 어항 분수 펌프 HJ-700,50000386,생활/건강,관상어용품,모터,N,생활/건강$관상어용품$모터$N
33039,밀키웨이 팬던트 체인 발찌 G754,50006175,패션잡화,주얼리,발찌,패션발찌,패션잡화$주얼리$발찌$패션발찌
33040,유아동장갑 어린이장갑 아동용 주니어 키즈 손 보온 털 겨울용 보드용 스키용 휴대용 캐릭터 블루 핑크,50000350,출산/육아,유아동잡화,장갑,N,출산/육아$유아동잡화$장갑$N
33041,덴마크 빕스 BIBS 꾸뛰르 쪽쪽이 공갈젖꼭지 아나토미컬형 실리콘 국민쪽쪽이,50000746,출산/육아,수유용품,노리개젖꼭지,N,출산/육아$수유용품$노리개젖꼭지$N
33042,뉴 SM5 LED 실내등 초고휘도 라이트 - 램프 실내등,50003922,생활/건강,자동차용품,램프,실내등,생활/건강$자동차용품$램프$실내등
33043,자동차등쿠션 목 보호 베개 리얼가죽 기억 면 의자 차량용실내용품 2506344736,50006831,생활/건강,자동차용품,차량실내용품,등쿠션,생활/건강$자동차용품$차량실내용품$등쿠션
33044,살비마 라인커터 다이빙 나이프 칼 SALVIMAR,50001255,스포츠/레저,스킨스쿠버,다이빙칼,N,스포츠/레저$스킨스쿠버$다이빙칼$N
33045,세지메론5키로3-4수,50002170,식품,농산물,과일,멜론,식품$농산물$과일$멜론
33046,"헤리티지 스토어 Heritage Store 로즈워터, 리프레싱 페이셜 미스트, 237ml(8fl oz)",50000442,화장품/미용,스킨케어,미스트,N,화장품/미용$스킨케어$미스트$N
33047,거치대 드라이기 스텐 홀더기타 스마트폰,50000255,디지털/가전,휴대폰액세서리,휴대폰거치대,N,디지털/가전$휴대폰액세서리$휴대폰거치대$N
33048,하만카돈 오라 스튜디오2 블루투스 스피커 AURA STUDIO 2,50002317,디지털/가전,음향가전,오디오,휴대폰도킹스피커/오디오,디지털/가전$음향가전$오디오$휴대폰도킹스피커/오디오
33049,아디다스 남성 골프 벨트 스트라이프 버클 양면 벨트,50002807,스포츠/레저,골프,골프잡화,벨트,스포츠/레저$골프$골프잡화$벨트
33050,일회용빨대 투명 일자 커피 빨대 스트로우 100개,50004841,생활/건강,주방용품,주방잡화,일회용빨대,생활/건강$주방용품$주방잡화$일회용빨대
33051,나노 글라스 발각질제거기 - 네온블루,50001827,생활/건강,발건강용품,발각질제거기,N,생활/건강$발건강용품$발각질제거기$N
33052,닭가슴살 큐브 1kg,50013800,식품,축산물,닭고기,닭가슴살,식품$축산물$닭고기$닭가슴살
33053,코닥 프로페셔널 포트라 400 필름 120,50002094,디지털/가전,카메라/캠코더용품,필름/관련용품,35mm필름,디지털/가전$카메라/캠코더용품$필름/관련용품$35mm필름
33054,비앤비 유아 섬유유연제 리필 베르가못 1500ml + 섬유세제 세트,50000530,출산/육아,신생아의류,손/발싸개,N,출산/육아$신생아의류$손/발싸개$N
33055,가마가츠 마키나 파인스페셜2 낚시주걱 쏠채 GM839,50003035,스포츠/레저,낚시,낚시용품,밑밥주걱,스포츠/레저$낚시$낚시용품$밑밥주걱
33056,아미노 후레쉬 헤어글레이즈 250ml 13999465,50000310,화장품/미용,헤어스타일링,헤어글레이즈,N,화장품/미용$헤어스타일링$헤어글레이즈$N
33057,자바라물통,50003789,생활/건강,화방용품,미술보조용품,물통,생활/건강$화방용품$미술보조용품$물통
33058,미니 냉장고 초소형 냉장고 화장품 냉장고 신선 보관,50002570,디지털/가전,주방가전,전용냉장고,화장품냉장고,디지털/가전$주방가전$전용냉장고$화장품냉장고
33059,시리얼 디스펜서 곡물 원두 자판기 레버형 보관 용기,50004572,생활/건강,주방용품,보관/밀폐용기,시리얼디스펜서,생활/건강$주방용품$보관/밀폐용기$시리얼디스펜서
33060,BIXOLON XQ-840 태블릿 내장 바코드프린터 데스크탑프린터 라벨프린터 소형프린터,50002945,디지털/가전,주변기기,프린터,바코드프린터,디지털/가전$주변기기$프린터$바코드프린터
33061,대상 청정원 순창 초고추장 170g,50014141,식품,장류,고추장,N,식품$장류$고추장$N
33062,은 세척천 / 주얼리 세척제 / 실버 연마 클리너 /은변색제거,50004189,패션잡화,주얼리,주얼리소품,세척용품,패션잡화$주얼리$주얼리소품$세척용품
33063,밥새우 섞인 지리 멸치 1kg 국산 볶음멸치 잔멸치 세세멸치 업소용,50004737,식품,수산물,건어물,멸치,식품$수산물$건어물$멸치
33064,"겨울용 유모차 침낭, 따뜻한 자루, 유모차 쿠션, 발싸개, 1 개",50003873,출산/육아,유모차,유모차용품,유모차목쿠션/블랭킷,출산/육아$유모차$유모차용품$유모차목쿠션/블랭킷
33065,위드잇 한포 담다 이유식 유아 웰빙 한우 소고기가루 이유식재료 실온이유식,50009345,출산/육아,이유식,이유식재료,N,출산/육아$이유식$이유식재료$N
33066,베베가드 날벌레 기피제 캠핑 등산 낚시 벌레기피,50000583,출산/육아,안전용품,모기밴드/퇴치용품,N,출산/육아$안전용품$모기밴드/퇴치용품$N
33067,자전거체인링 변속기부품 mtb 크랭크 크랭크 알루미늄 합금 바닥 크랭크,50002856,스포츠/레저,자전거,자전거부품,체인,스포츠/레저$자전거$자전거부품$체인
33068,임산부바디필로우 u자 바디 필로우 베개 풍선 다리 휴대용 릴리프 무릎 메모리,50000276,출산/육아,임산부용품,임산부바디필로우,N,출산/육아$임산부용품$임산부바디필로우$N
33069,미니 무선 강의용 마이크 확성기 선생님 가이드 응원-블루 세트A,50007217,디지털/가전,음향가전,마이크,확성기,디지털/가전$음향가전$마이크$확성기
33070,영상 3D 입체 사진 영화감상 게임 안경,50002119,디지털/가전,영상가전,영상가전액세서리,3D입체안경,디지털/가전$영상가전$영상가전액세서리$3D입체안경
33071,국산 저온건조 가지 나물 말린 가지 200g,50002461,식품,농산물,채소,건나물,식품$농산물$채소$건나물
33072,프리미엄 자수 원단 레이스 펀칭 천 리폼 면 DIY,50000849,가구/인테리어,수예,원단,N,가구/인테리어$수예$원단$N
33073,미니키티키티 입체 젖병집게,50000632,출산/육아,소독/살균용품,젖병집게,N,출산/육아$소독/살균용품$젖병집게$N
33074,샷시창문 물구멍 부착식 벌레 방충망 모기장 5개,50002697,생활/건강,생활용품,생활잡화,모기장,생활/건강$생활용품$생활잡화$모기장
33075,"내구성 낙하산 코드, 탈출 도구, 등산 안전 로프, 캠핑 장비",50002642,스포츠/레저,등산,등산장비,로프,스포츠/레저$등산$등산장비$로프
33076,골뱅이무침 국수 비빔면 냉면 소스 쫄면 양념장 500g,50014220,식품,장류,양념장,N,식품$장류$양념장$N
33077,호텔 침대 커버 세트 침구 싱글 미끄럼방지 고정침대 매트리스 보호방진 커버 몬스터 풀커버,50003485,가구/인테리어,침구세트,침대커버세트,더블/퀸침대커버세트,가구/인테리어$침구세트$침대커버세트$더블/퀸침대커버세트
33078,오뚜기 렌지에 돌려먹는 고등어구이/구운고등어 생선구이 1팩,50004683,식품,수산물,생선,고등어,식품$수산물$생선$고등어
33079,곡물탈곡기 정선기 선별기 들깨 참깨 콩 타작기 풍구,50006194,생활/건강,공구,원예공구,농기계,생활/건강$공구$원예공구$농기계
33080,토트넘 손흥민 브로마이드 59종 포토 굿즈 대형 천 패브릭 포스터 A2 A3 방수 스티커,50007080,생활/건강,수집품,아이돌굿즈,포토/브로마이드,생활/건강$수집품$아이돌굿즈$포토/브로마이드
33081,배쓰앤바디웍스 미니 핸드젤 휴대용 손세정제,50006879,생활/건강,생활용품,세제/세정제,손소독제,생활/건강$생활용품$세제/세정제$손소독제
33082,허리조절 (빅사이즈)하복 네이비 교복바지 여자 -6XL 교복 유아동의류 출산육아 멋있는,50007118,출산/육아,유아동의류,교복,N,출산/육아$유아동의류$교복$N
33083,노루페인트 솔리드에폭시상도 크린폭시3100 16L 무광 칼라에폭시,50003536,생활/건강,공구,페인트용품,에폭시,생활/건강$공구$페인트용품$에폭시
33084,주걱 캠핑용품 접이식 THT 02 다용도 구명 공병,50009402,스포츠/레저,캠핑,텐트/타프용품,기타텐트/타프용품,스포츠/레저$캠핑$텐트/타프용품$기타텐트/타프용품
33085,켄싱턴 익스퍼트 마우스 트랙볼,50002929,디지털/가전,주변기기,마우스,트랙볼마우스,디지털/가전$주변기기$마우스$트랙볼마우스
33086,큐어쿠스틱스 3010i + 야마하 A-S1200 -하이오디오-,50002319,디지털/가전,음향가전,오디오,분리형오디오,디지털/가전$음향가전$오디오$분리형오디오
33087,LED 주방등 50W 부엌 주방 등 조명 LED전등 교체,50003337,가구/인테리어,인테리어소품,조명,주방조명,가구/인테리어$인테리어소품$조명$주방조명
33088,레터링케이크 미니 생일선물 맞춤 포토 수제 주문제작 케이크 서울 대구 택배 BEST,50013280,식품,과자/베이커리,케이크,N,식품$과자/베이커리$케이크$N
33089,Duo 메모리스틱 SONY 메모리카드 PRO-HG 32GB 소니,50004627,디지털/가전,카메라/캠코더용품,메모리카드,메모리스틱,디지털/가전$카메라/캠코더용품$메모리카드$메모리스틱
33090,3M 에탄올 워셔액 1.8L 자동차워셔액 유리세정 세차용품,50004067,생활/건강,자동차용품,익스테리어용품,워셔액,생활/건강$자동차용품$익스테리어용품$워셔액
33091,MW3D1577 기타자동차AV용품 트레이 차량용 자동차컵포켓 수납함 컵홀더,50004108,생활/건강,자동차용품,수납용품,홀더,생활/건강$자동차용품$수납용품$홀더
33092,유아놀이미술 유아그림판 그림놀이 실그림 매직보드,50004249,출산/육아,완구/매트,미술놀이,그림판,출산/육아$완구/매트$미술놀이$그림판
33093,지커피 드립백커피 골라담기 스페셜티 외 9종 12g,50011920,식품,음료,커피,드립백/티백,식품$음료$커피$드립백/티백
33094,비앤비 젖병세정제 액상형 리필,50000630,출산/육아,소독/살균용품,젖병세정제,N,출산/육아$소독/살균용품$젖병세정제$N
33095,찬바람이 불면 더 맛있는 국산 세레단 포도 1kg 2kg,50002180,식품,농산물,과일,포도,식품$농산물$과일$포도
33096,본죽 쇠고기죽x10/전복죽/보양삼계죽/얼큰낙지김치죽 외 10 팩 구성,50012440,식품,냉동/간편조리식품,죽,N,식품$냉동/간편조리식품$죽$N
33097,20색상 스탬프 잉크패드 세트 컬러 도장패드,50007768,생활/건강,문구/사무용품,스탬프/도장,스탬프패드,생활/건강$문구/사무용품$스탬프/도장$스탬프패드
33098,해동 대물강공 EVA 낚시 밑밥통 살림통 40 HB-219 그린,50003036,스포츠/레저,낚시,낚시용품,밑밥통/살림통,스포츠/레저$낚시$낚시용품$밑밥통/살림통
33099,바볼랏 소프트 원형 테니스 스트링 릴,50001363,스포츠/레저,테니스,스트링,N,스포츠/레저$테니스$스트링$N
33100,이케아 홀름비 담요 라이트핑크 405 136 25,50000973,가구/인테리어,침구단품,담요,N,가구/인테리어$침구단품$담요$N
33101,쿠션커버세트 팩 코듀로이 소프트 솔리드 크리스마스 장식 광장 던져 인테리어 쿠션방석커버,50003655,가구/인테리어,홈데코,쿠션/방석,쿠션/방석커버세트,가구/인테리어$홈데코$쿠션/방석$쿠션/방석커버세트
33102,여성팔찌시계 빈티지 골동품 티베트어 쿼츠 손목 시계 위한 럭셔리 팔찌 합 팔찌형시계,50004143,패션잡화,시계,패션시계,뱅글/팔찌형시계,패션잡화$시계$패션시계$뱅글/팔찌형시계
33103,(소니정품) 인강용헤드셋 온라인학습헤드셋 어학용 어린이 중학생 고등학생 헤드폰 해드셋 110ap,50001599,디지털/가전,멀티미디어장비,PC헤드셋,N,디지털/가전$멀티미디어장비$PC헤드셋$N
33104,수납 장난감 아기 목욕놀이 정리 가방 망,50000715,출산/육아,목욕용품,욕실정리망/정리함,N,출산/육아$목욕용품$욕실정리망/정리함$N
33105,고양이 소변냄새 탈취제 소독제 2개 배변 오줌 애완,50006650,생활/건강,반려동물,강아지 배변용품,탈취제/소독제,생활/건강$반려동물$강아지배변용품$탈취제/소독제
33106,여행용 세제 세트 천연 아기세제 미니어쳐 3종,50000626,출산/육아,유아세제,유아세탁세제,N,출산/육아$유아세제$유아세탁세제$N
33107,제이에스컴퍼니 빅쏘드 B1 민물루어낚싯대 BC652M-R,50002998,스포츠/레저,낚시,낚싯대,민물루어낚싯대,스포츠/레저$낚시$낚싯대$민물루어낚싯대
33108,썬버드 내야수 우투 야구글러브 13,50001556,스포츠/레저,야구,글러브,N,스포츠/레저$야구$글러브$N
33109,(아토피홈케어+뷰티) 피부장벽측정기 지피스킨베리어 / 피부수분측정기 / 피부측정기,50001995,디지털/가전,이미용가전,피부케어기기,N,디지털/가전$이미용가전$피부케어기기$N
33110,윤팔도전통식품 합격엿 20개입,50001762,식품,과자/베이커리,엿,N,식품$과자/베이커리$엿$N
33111,Bontempi 20 4042 Spanish Guitar (40 cm),50004643,출산/육아,완구/매트,감각발달완구,기타감각발달완구,출산/육아$완구/매트$감각발달완구$기타감각발달완구
33112,양은 레트로 서울우유 옛날 복고 스텐 밥상,50004767,생활/건강,주방용품,교자상/밥상,다용도상,생활/건강$주방용품$교자상/밥상$다용도상
33113,흔들말 흔들기린 승용완구 장난감 붕붕카 대형완구,50004415,출산/육아,완구/매트,승용완구,흔들말,출산/육아$완구/매트$승용완구$흔들말
33114,나오미씨엠/화산현무암I/파벽돌/고벽돌 -DH,50001063,가구/인테리어,DIY자재/용품,파벽돌,N,가구/인테리어$DIY자재/용품$파벽돌$N
33115,아지야샵 캠핑 그리들 초경량 무쇠 솥뚜껑 불판 자이글 4T,50002663,스포츠/레저,캠핑,취사용품,바비큐그릴/화로대,스포츠/레저$캠핑$취사용품$바비큐그릴/화로대
33116,영창 디지털피아노 도레미 DOREMI 61건반 디지털피아노,50004304,생활/건강,악기,피아노,디지털피아노,생활/건강$악기$피아노$디지털피아노
33117,거창유기공방 거창유기 kjg-17 유기 제사 신 수저1벌 제기 향로 촛대 잔대1094352 L2,50004845,생활/건강,주방용품,제수용품,유기제기,생활/건강$주방용품$제수용품$유기제기
33118,인덕션 돔형 스텐찜기 28cm 찜냄비 찜통 대용량 찜솥,50004554,생활/건강,주방용품,냄비/솥,찜기,생활/건강$주방용품$냄비/솥$찜기
33119,유기농마루 꽃보다 유기농 타트체리쥬스 원액 1000ml,50012840,식품,음료,주스/과즙음료,타트체리주스,식품$음료$주스/과즙음료$타트체리주스
33120,"투명 의류 방진 코트 1 개, 옷 보관 행잉 정리 의류 커버 슈트 더스트 커버",50001837,생활/건강,수납/정리용품,옷커버,N,생활/건강$수납/정리용품$옷커버$N
33121,N14 톰포드 남성 신발 부츠 LEATHER ANKLE BOOTS,50000792,패션잡화,남성신발,부츠,N,패션잡화$남성신발$부츠$N
33122,꽈베기스퀘어 투톤 투버튼 핸드워머 암워머 토시 방한 장갑 레그,50000553,패션잡화,장갑,암워머/토시,N,패션잡화$장갑$암워머/토시$N
33123,약손드림 얼굴 저주파 안마기 EMS 마사지기 얼굴세트,50001922,생활/건강,물리치료/저주파용품,저주파안마기,N,생활/건강$물리치료/저주파용품$저주파안마기$N
33124,신우 오리훈제롤 400g x20개,50013640,식품,축산물,오리고기,오리훈제,식품$축산물$오리고기$오리훈제
33125,자전거보조바퀴 LiteproCump Fun 접이식 자전거 V 브레이크 베어링 보조바퀴설치,50002836,스포츠/레저,자전거,자전거용품,보조바퀴,스포츠/레저$자전거$자전거용품$보조바퀴
33126,돔텐트 3.6m 양문형 캠핑 비치 글램핑 육각형 아늑,50002653,스포츠/레저,캠핑,텐트,6-7인용,스포츠/레저$캠핑$텐트$6-7인용
33127,산양산삼 산양삼 장뇌삼 13년근소삼,50001902,식품,건강식품,인삼,N,식품$건강식품$인삼$N
33128,MUST 슬림 블루투스 스피커 B70,50002342,디지털/가전,음향가전,이어폰/헤드폰액세서리,기타이어폰/헤드폰액세서리,디지털/가전$음향가전$이어폰/헤드폰액세서리$기타이어폰/헤드폰액세서리
33129,튜닝용품 배달 led바 오토바이 무빙턴시그널 차,50003915,생활/건강,자동차용품,DIY용품,LED소자,생활/건강$자동차용품$DIY용품$LED소자
33130,컵밥 cj 햇반 컵반 오뚜기 컵밥 국밥 덮밥 간편식 즉석밥 모음,50012420,식품,냉동/간편조리식품,즉석밥,N,식품$냉동/간편조리식품$즉석밥$N
33131,[기타] 바보사랑미니멀 간편형 옥수수 커터기 1개,50001726,디지털/가전,주방가전,기타주방가전,N,디지털/가전$주방가전$기타주방가전$N
33132,전사반지 남자반지 패션반지 해골북유럽 바이킹 오딘,50004155,패션잡화,주얼리,반지,패션반지,패션잡화$주얼리$반지$패션반지
33133,5x플라스틱 축구실내탁구 축구공 교체,50001550,스포츠/레저,축구,축구공,N,스포츠/레저$축구$축구공$N
33134,아킵 스퀘어메이트 남성 기본 밍크수면바지 30종,50000848,패션의류,남성언더웨어/잠옷,잠옷/홈웨어,N,패션의류$남성언더웨어/잠옷$잠옷/홈웨어$N
33135,고급 여성 블라우스 셔츠 박시,50000804,패션의류,여성의류,블라우스/셔츠,N,패션의류$여성의류$블라우스/셔츠$N
33136,그릇장 컵보드 주방 인테리어 원목가구 원목 찻잔걸이 다보각 자사주전자 선반 수납장 쿵푸다,50001317,가구/인테리어,주방가구,그릇장/컵보드,N,가구/인테리어$주방가구$그릇장/컵보드$N
33137,속도조절 전기루터 8 ES산업 루터 라우 RK212 6,50003422,생활/건강,공구,절삭공구,루터,생활/건강$공구$절삭공구$루터
33138,로프 고무줄 10p 브라운,50002118,디지털/가전,영상가전,TV,브라운관TV,디지털/가전$영상가전$TV$브라운관TV
33139,청소용품정리보관 손잡이 플라스틱 바구니 옷수납,50001835,생활/건강,수납/정리용품,바구니,N,생활/건강$수납/정리용품$바구니$N
33140,엔피트닉스 나비800K 자전거 충전 라이트 오토전조등 배터리 2개입,50002843,스포츠/레저,자전거,자전거용품,자전거라이트,스포츠/레저$자전거$자전거용품$자전거라이트
33141,알레르망 페어 이불솜Q,50003507,가구/인테리어,솜류,이불솜,일반이불솜,가구/인테리어$솜류$이불솜$일반이불솜
33142,삼성 엘지 세탁기 급수호스캡 수도꼭지잰더 통돌이드럼,50007508,디지털/가전,생활가전,세탁기,세탁기부품,디지털/가전$생활가전$세탁기$세탁기부품
33143,쿠레타케 붓펜 청묵색(KG208-20) 극세,50003888,생활/건강,화방용품,붓,서예/동양화붓,생활/건강$화방용품$붓$서예/동양화붓
33144,스포츠 레져 멀티장갑 자전거 등산 다용도 장갑2287,50002636,스포츠/레저,등산,등산잡화,장갑,스포츠/레저$등산$등산잡화$장갑
33145,템피아 TDH-260L,50002549,디지털/가전,계절가전,제습기,업소용제습기,디지털/가전$계절가전$제습기$업소용제습기
33146,만년 스탬프 인주 스탬프 패드겸용 12개 - 사무용품 도장,50007788,생활/건강,문구/사무용품,스탬프/도장,인주,생활/건강$문구/사무용품$스탬프/도장$인주
33147,엄지 거문고 칼림바 새강아지 초인종 초보자 KALIMBA17음엄지 피아노 학생 거문고를 보내다 음성스티커,50004365,생활/건강,악기,국악기,기타국악기,생활/건강$악기$국악기$기타국악기
33148,임부복 임부 청바지 블랙 데님 용 카프리 바지 간호 바지 9번째 자른,50000497,출산/육아,임부복,청바지,N,출산/육아$임부복$청바지$N
33149,가정식반찬 묵은지 볶음김치 들깨 샐리쿡 된장백묵은지볶음 60g HACCP,50002026,식품,김치,묵은지,N,식품$김치$묵은지$N
33150,욕조 안에 젤리 바다 입욕젤 입욕제 입욕 마사지 젤 러브 바디 제리 반신욕 스파 220g,50000291,화장품/미용,바디케어,입욕제,N,화장품/미용$바디케어$입욕제$N
33151,감각적디자인 SR CTiger 프로스트 고속 USB 카드 리더기 5Gbps 기타저장장치,50001619,디지털/가전,저장장치,저장장치액세서리,N,디지털/가전$저장장치$저장장치액세서리$N
33152,나침반 등산 방향 캠핑 장비 아웃도어활동 방위각 b0886,50002641,스포츠/레저,등산,등산장비,나침반,스포츠/레저$등산$등산장비$나침반
33153,면건지게 우동 파스타 국수 조리 요리 국자,50004773,생활/건강,주방용품,조리기구,국자,생활/건강$주방용품$조리기구$국자
33154,개모차 접이식 케이지 이동장 폴더 소형견 애견웨건 수송 강아지경량유모차 웨건 폴딩 노령,50006742,생활/건강,반려동물,이동장/외출용품,유모차,생활/건강$반려동물$이동장/외출용품$유모차
33155,두꺼운 겨울 이불 세트 먼지없는 극세사 이불커버세트,50003500,가구/인테리어,침구세트,요이불세트,2/3인용,가구/인테리어$침구세트$요이불세트$2/3인용
33156,깐양파(1입) 120g이상,50002200,식품,농산물,채소,양파,식품$농산물$채소$양파
33157,[한국경제매거진] 월간 머니 Money  1년 정기구독 - 국내 유일의 고품격 재테크 전문지,50007309,여가/생활편의,생활편의,지류/카드 상품권,도서/문화상품권,여가/생활편의$생활편의$지류/카드상품권$도서/문화상품권
33158,셀프 헤어구르프 3입세트 앞머리 헤어롤 KK288 파마 웨이브펌,50004398,화장품/미용,뷰티소품,헤어소품,헤어롤,화장품/미용$뷰티소품$헤어소품$헤어롤
33159,(현대Hmall)그레이팬지 사각방석(중) 반려동물 리빙용품 쿠션방석,50006726,생활/건강,반려동물,리빙용품,하우스,생활/건강$반려동물$리빙용품$하우스
33160,디카 카메라 핸드 파나소닉 올림푸스 스트랩 미러리스,50002109,디지털/가전,카메라/캠코더용품,카메라/캠코더 관련용품,소프트버튼,디지털/가전$카메라/캠코더용품$카메라/캠코더관련용품$소프트버튼
33161,포켓나이프 멀티툴 캠핑용칼 맥가이버 수공구 와이어,50009420,스포츠/레저,캠핑,취사용품,다용도칼,스포츠/레저$캠핑$취사용품$다용도칼
33162,마사지 에어 쿠션 발 다리 에어로워킹스텝퍼 헬스  민트,50001608,스포츠/레저,헬스,스텝퍼,N,스포츠/레저$헬스$스텝퍼$N
33163,우드랜턴걸이 evolta neo 배터리가 장착된 panasonic 랜턴 랜턴걸이 스탠드,50009281,스포츠/레저,캠핑,랜턴,랜턴걸이/스탠드,스포츠/레저$캠핑$랜턴$랜턴걸이/스탠드
33164,3M 스카치 매직테이프리필 810R 32M,50003752,생활/건강,문구/사무용품,사무기기,전자타자기,생활/건강$문구/사무용품$사무기기$전자타자기
33165,차량 3D 벌집 쿨방석 쿨링 통풍방석,50006833,생활/건강,자동차용품,차량실내용품,방석,생활/건강$자동차용품$차량실내용품$방석
33166,Fujitsu fi-8170 전문가용 고속 컬러 양면 문서 스캐너,50002954,디지털/가전,주변기기,스캐너,양면스캐너,디지털/가전$주변기기$스캐너$양면스캐너
33167,네트워크테스터 네트워크테스트기 Hobbes Tooltest 랜툴+랜테스터기HTC-0022,50001499,디지털/가전,네트워크장비,네트워크테스트기,N,디지털/가전$네트워크장비$네트워크테스트기$N
