No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
43421,다오름 (현대Hmall)라나3 2200 2인용책상 학생책상 2인책상 커플책상,50003677,가구/인테리어,서재/사무용가구,책상,2인용 책상,가구/인테리어$서재/사무용가구$책상$2인용책상
43422,PMEAL003 명태조리 코다리 찜 조림 요리 꿀맛 밀키트,50014101,식품,밀키트,조림/찜,N,식품$밀키트$조림/찜$N
43423,이너뷰티 히알루론산 하이루론산 겨울철피부관리 독일산,50007041,식품,다이어트식품,히알루론산,N,식품$다이어트식품$히알루론산$N
43424,태양광 미니 조명 분수 펌프 분수대 정원 인테리어,50001075,가구/인테리어,인테리어소품,인테리어분수,N,가구/인테리어$인테리어소품$인테리어분수$N
43425,Seawoo Dselvgvu Wooden Miniature Electric Guitar with Stand and Case Mini Musical Instrume,50000600,출산/육아,유아가구,장난감정리함,N,출산/육아$유아가구$장난감정리함$N
43426,소고 교재용 전통 소고,50004360,생활/건강,악기,국악기,북,생활/건강$악기$국악기$북
43427,코바늘 손뜨개 DIY 담요 식탁보 블랭킷 뜨개질 패키지 이름 다크 패키지,50003659,가구/인테리어,수예,뜨개질,패키지,가구/인테리어$수예$뜨개질$패키지
43428,미끄럼 방지 손잡이 활어 피싱 폴딩 해루질 악어집게 쏘가리낚시 뺀찌 피쉬그립 LOCK세트 9 998개,50006892,스포츠/레저,낚시,낚시공구,립그립/고기집게,스포츠/레저$낚시$낚시공구$립그립/고기집게
43429,유기농 쌀보리 1kg x 6 찰기 혼합곡 잡곡 건강식,50004755,식품,농산물,잡곡/혼합곡,보리,식품$농산물$잡곡/혼합곡$보리
43430,엠버 유아동 키즈 남아 여아 퀼팅조끼 베스트 가을 겨울 누빔조끼,50000270,출산/육아,유아동의류,조끼,N,출산/육아$유아동의류$조끼$N
43431,슬림 남성 기본 수동 도트 넥타이 일반 사무실 남자,50004014,패션잡화,패션소품,넥타이,기본넥타이,패션잡화$패션소품$넥타이$기본넥타이
43432,딸랑이 5종 선물세트 곰돌이딸랑이와 친구들,50004419,출산/육아,완구/매트,신생아/영유아완구,딸랑이,출산/육아$완구/매트$신생아/영유아완구$딸랑이
43433,큐원 올림푸스 마가린 4 5kg 2136202,50001758,식품,유가공품,마가린,N,식품$유가공품$마가린$N
43434,스판 (빅사이즈) 밤색 교복바지 여자 -6XL 교복 유아동의류 출산육아 멋있는 감사 선물 좋은 핫한,50007118,출산/육아,유아동의류,교복,N,출산/육아$유아동의류$교복$N
43435,오잉 양털 무릎담요 - 귀여운 사막여우 오잉이와 폴링이 라이센스,50000974,가구/인테리어,침구단품,무릎담요,N,가구/인테리어$침구단품$무릎담요$N
43436,[영로그] 2023 모던 디지털 플래너 PDF 속지 아이패드 굿노트 서식 다크 화이트 먼슬리 위클리 다이어리 일요일 월요일 (날짜형 하이퍼링크 세로형),50001518,디지털/가전,소프트웨어,유틸리티,N,디지털/가전$소프트웨어$유틸리티$N
43437,보루네오하우스 엘리브 스타 벙커침대 사다리형 H세트 YS015,50003671,가구/인테리어,아동/주니어가구,침대,벙커침대,가구/인테리어$아동/주니어가구$침대$벙커침대
43438,엠브라 벽타일 도기질 무광 100x300mm AMG-3310M,50007146,가구/인테리어,DIY자재/용품,타일,도기질타일,가구/인테리어$DIY자재/용품$타일$도기질타일
43439,나이키22 프랑스 드라이 스타디움 티셔츠 ILDN0690,50005247,스포츠/레저,축구,축구의류,N,스포츠/레저$축구$축구의류$N
43440,꽃무늬 가림막 커튼 주방 현관 거실 블라인드 106X45 속커튼 바란스커텐,50000862,가구/인테리어,커튼/블라인드,바란스,N,가구/인테리어$커튼/블라인드$바란스$N
43441,파마산치즈 기타가공품 음식재료 동원 227gX12EA,50013160,식품,유가공품,치즈,파마산치즈,식품$유가공품$치즈$파마산치즈
43442,이국주 미니밥솥 블랙 소형 밥솥 저당 캠핑 마카롱 전기밥통,50002575,디지털/가전,주방가전,전기밥솥,일반밥솥,디지털/가전$주방가전$전기밥솥$일반밥솥
43443,아디다스 남여공용 뉴 다운 재킷 HS7283,50000837,패션의류,남성의류,점퍼,N,패션의류$남성의류$점퍼$N
43444,루체스터 스타일링 올데이 세팅 스프레이 300ml,50000307,화장품/미용,헤어스타일링,헤어스프레이,N,화장품/미용$헤어스타일링$헤어스프레이$N
43445,퓨어스타 스탬프 브러쉬 디테일링 미세모 소프트 브러쉬 블랙,50003939,생활/건강,자동차용품,세차용품,브러시,생활/건강$자동차용품$세차용품$브러시
43446,아트 포스터 파울클레 02 Flourishing,50006312,가구/인테리어,인테리어소품,미술작품,아트포스터,가구/인테리어$인테리어소품$미술작품$아트포스터
43447,기타메모리 CF2GB SD카드 FANUC씨스템 cf카드 2g플란넬 그램 CNC가공 중심,50004629,디지털/가전,카메라/캠코더용품,메모리카드,기타메모리,디지털/가전$카메라/캠코더용품$메모리카드$기타메모리
43448,가정용마이크 마이크 무선 클립 소형 옷깃 콘덴서 미니 칼라 무지향성 Pc 강의 노래마이크,50002327,디지털/가전,음향가전,마이크,무선마이크,디지털/가전$음향가전$마이크$무선마이크
43449,원예용품 가드닝 악세서리 정원 가꾸기 고품질 나일론,50001796,생활/건강,정원/원예용품,원예부자재,N,생활/건강$정원/원예용품$원예부자재$N
